"N","n_reps","Tfull","rho","beta_bias","omega_bias","rho_bias"
100,200,2,0.9,0.0475128904223363,0.0441527905315794,-0.0974823705973514
100,200,3,0.9,0.00716863188404275,-0.00421148039908859,-0.0713909809787504
100,200,4,0.9,0.000428195167728463,0.00197728672433319,-0.0262510814135008
100,200,5,0.9,-0.00265398218758355,0.0025922666647619,-0.0320203936911642
100,200,6,0.9,-0.0117462683824301,-0.0174475147302841,-0.0263080535537114
100,200,7,0.9,-0.0110499506624049,-0.0097236453572379,-0.0203572515915194
100,200,8,0.9,-0.00764327671903854,-0.0138125194051748,-0.0272084261793664
100,200,9,0.9,-0.00722013827340117,-0.017331265038017,-0.0207621179741035
100,200,10,0.9,0.000139662319732718,-0.00487842648485113,-0.014995808377737
100,200,2,0.7,0.0641319895468195,0.0374556430903402,-0.0943013578615253
100,200,3,0.7,0.0256575320657966,0.00579007133735708,-0.10176211566247
100,200,4,0.7,0.00226680721932301,-0.00180771455630051,-0.0422593385785646
100,200,5,0.7,0.00333786320958914,-0.00550529336900211,-0.0313544018530425
100,200,6,0.7,-0.00861638437325573,-0.0193562217758069,-0.0291143767836361
100,200,7,0.7,-0.00477743608522706,-0.00801267444378756,-0.0177231769569365
100,200,8,0.7,-0.00239980254426401,-0.0131746908936031,-0.0238463557430934
100,200,9,0.7,-0.00242033736615286,-0.0170685127830976,-0.0241411716460669
100,200,10,0.7,0.00561617933893384,-0.00163363942758315,-0.00705280252675597
100,200,2,0.5,0.0507644124674438,0.0200465512575793,-0.0423591539578676
100,200,3,0.5,0.0256534787827614,0.00580161988668544,-0.0492454811012763
100,200,4,0.5,0.0064544000338598,0.00104928529227292,-0.000493429832229536
100,200,5,0.5,0.00736270933701428,-0.00504012442124186,0.0146254002280194
100,200,6,0.5,-0.0099005080305799,-0.0199106296631176,0.000954759258515983
100,200,7,0.5,-0.00270213008640717,-0.00142706625545456,-0.00778685969115893
100,200,8,0.5,-0.00394519226625215,-0.00896117007668407,-0.0172631331734746
100,200,9,0.5,0.000587135968758005,-0.0113274618423495,-0.0162327065942345
100,200,10,0.5,0.00399987301221107,0.000726529558525835,-0.00462255487555081
100,200,2,0.3,0.0474501287739465,0.0245810669730804,0.0284568736358071
100,200,3,0.3,0.0230572360085201,0.000875653208804408,0.0177708262245059
100,200,4,0.3,0.0116929351064529,0.00623550340262088,0.026899121783254
100,200,5,0.3,0.00469079912446798,-0.00405327326050855,0.0238228520363456
100,200,6,0.3,-0.00518019532779823,-0.0105897955680952,0.00376822146574167
100,200,7,0.3,-0.000326228221564036,0.00160097676433529,0.00638658006650576
100,200,8,0.3,-0.000671806983796656,-0.00772779830867876,-0.00896392172226626
100,200,9,0.3,0.00148590903254356,-0.00939859945225072,-0.0121206545484949
100,200,10,0.3,0.00501330917685678,0.00318010680484624,0.00516820631712625
100,200,2,0.1,0.0336855499722798,0.0100027862181361,0.0930141867745344
100,200,3,0.1,0.0245460484661953,0.0035866319978351,0.0313209195281919
100,200,4,0.1,0.00668157790257879,0.00821352143625878,0.0258284485542391
100,200,5,0.1,0.00795981188269055,-0.000376365964744811,0.0112886173874119
100,200,6,0.1,-0.00576810912243829,-0.00815042843054196,-0.00803690040581394
100,200,7,0.1,0.000804877474098648,0.00313339549901127,0.0103322261168798
100,200,8,0.1,-0.00283668393852905,-0.0066408993158679,-0.00756513509169428
100,200,9,0.1,0.000805399712635463,-0.00697646503285736,-0.00901803530928979
100,200,10,0.1,0.00768880458221045,0.0042595043676521,0.00368188343029256
100,200,2,0,0.0279430320997862,0.00579841306318639,0.11138734199948
100,200,3,0,0.0220397128293764,0.00512159260747199,0.0359009259324743
100,200,4,0,0.00324035234107921,0.00901086399350671,0.0277241056421369
100,200,5,0,0.00733494926644579,-0.000420560693042219,0.0136171109355907
100,200,6,0,-0.00477567524896471,-0.00640059782816127,-0.0149639835709092
100,200,7,0,-0.00127107522911308,0.00367896547753664,0.0140959306850446
100,200,8,0,-0.000788085600205639,-0.00437189788306525,-0.00676620752609355
100,200,9,0,-0.0013801485956142,-0.00711735615224277,-0.0125995518564672
100,200,10,0,0.00770094584569802,0.00436439322378475,-0.00607346498974034
