"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
-0.00059884331427562,0.0633343363841722,0.00142026324223003,0.107088548033597,0.013228027378357,0.130443372820744,0.1,1000,1000,1,1,2
0.000802685737824307,0.0623208556313953,0.00591254758269306,0.106849126192688,0.00887378911482093,0.14024353725689,0.2,1000,1000,1,1,2
0.00503682248853923,0.0611211505806843,0.00728537915353417,0.106027865622028,0.00953241959785753,0.147842350896541,0.3,1000,1000,1,1,2
0.00404746590532987,0.059529100924519,0.00256802936740389,0.104177443257551,0.0156094738741892,0.150115369489315,0.4,1000,1000,1,1,2
0.00802213351418788,0.058860013997694,0.011010490993586,0.104135911409108,-0.00673554639056935,0.145434187326712,0.5,1000,1000,1,1,2
0.0071405767372607,0.0576387494711263,0.0112291517865129,0.101917102126925,-0.0117733912065174,0.130463013213775,0.6,1000,1000,1,1,2
0.00732279130747098,0.0569118184269945,0.0180226095591061,0.100718581759702,-0.025033676826232,0.107387547165703,0.7,1000,1000,1,1,2
0.00692590894287078,0.0569931756217538,0.0128396837008845,0.0993269799306053,-0.018576665108637,0.0662742584749669,0.8,1000,1000,1,1,2
-5.93971316322828e-05,0.0593373104855679,0.00598640453883237,0.106450715298876,-0.00523200543427823,0.0234453710347902,0.9,1000,1000,1,1,2
0.112854926187541,0.442093299391088,0.229759810290611,0.914854097405628,0.113721310728046,0.735764775901754,0.1,20,500,1,1,3
0.11474376620352,0.434970986230795,0.13711963932344,0.815160818733499,0.0780973044061625,0.72630864260108,0.2,20,500,1,1,3
0.104921101326324,0.441873885763951,0.198550803847539,0.86480927787509,0.0210843313716227,0.783411883530063,0.3,20,500,1,1,3
0.10630307813533,0.440883642454389,0.15281712121285,0.83629340762905,-0.030738242915603,0.765051007206405,0.4,20,500,1,1,3
0.127742557981849,0.444698172278131,0.166362400094728,0.862753957490896,-0.112187099516416,0.766102780394173,0.5,20,500,1,1,3
0.122220251254243,0.442475959701646,0.165764000109815,0.861271672315117,-0.122448056415401,0.819016264191722,0.6,20,500,1,1,3
0.167808468612955,0.489687662628062,0.287953266707275,1.48445228933462,-0.167205561251745,0.758253468251795,0.7,20,500,1,1,3
0.122762382973449,0.447722083642383,0.216288839584834,0.971141827302254,-0.197836334963117,0.713587685308103,0.8,20,500,1,1,3
0.0652280871978158,0.447813150779221,0.146209959614393,0.929741074873878,-0.217169021762185,0.575988513563883,0.9,20,500,1,1,3
0.0818378336155199,0.332701027202316,0.0482023926406367,0.55537344661804,0.0961599831291683,0.544995208127479,0.1,30,500,1,1,3
0.0771824532758383,0.333486402707322,0.0869157541331516,0.57715309152537,0.0783014435669297,0.573993779510073,0.2,30,500,1,1,3
0.0899052956363097,0.33660558112599,0.125745187620689,0.611437582954675,0.0423982018224538,0.590487588729044,0.3,30,500,1,1,3
0.078875827820283,0.329694985241233,0.106800346595886,0.595471104206819,-0.0314268764708729,0.592070268460181,0.4,30,500,1,1,3
