"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
0.261873486154464,1.36073314896721,2.44873122581837,45.9397625968142,0.0987783904037779,0.20441428504578,-0.9,10,500,1,1,3
0.304059935027411,1.46557034591842,1.82342465139111,11.9558323653499,0.163125078311804,0.388768852841831,-0.8,10,500,1,1,3
0.29469171005876,1.27478577311833,1.31407362837112,8.1758514377312,0.219563724149405,0.567054157205987,-0.7,10,500,1,1,3
0.376972239729855,2.16040498622295,2.16633553987007,19.7091104519914,0.286072289075679,0.866888045086759,-0.6,10,500,1,1,3
0.312519268216665,1.39632095199057,1.22284626338782,7.26141230569553,0.323778030212406,0.857333838031498,-0.5,10,500,1,1,3
0.313159711460726,2.72698694536527,4.76819202416746,99.7313408726231,0.281490542406795,0.945155349748732,-0.4,10,500,1,1,3
2.55870580821152,2.46005107902163,3744.04950656184,4191.99480033847,0.304722516439153,3.27466958979284,-0.3,10,500,1,1,3
0.256324788225957,0.953970723266214,1.07165248052617,4.05918593275672,0.248904227495107,1.35258353468672,-0.2,10,500,1,1,3
0.507288802259209,2.03101448128659,337.946070455812,1351.94207060117,0.167300549955977,3.23164090726621,-0.1,10,500,1,1,3
0.310289726784286,1.04476249493936,0.983447614844821,5.07278579420569,0.18776840223909,1.43354886144684,0,10,500,1,1,3
0.0980451750847939,0.603012984230859,0.444186194679557,1.39562861762249,0.0280229299228489,0.0937009809755035,-0.9,20,500,1,1,3
0.131459296193257,0.549355726069257,0.306481476963479,1.16940483205602,0.0533703971556044,0.170255599751939,-0.8,20,500,1,1,3
0.0719752016191904,0.492156541805519,0.222116491653003,0.952757242990785,0.129105467792457,0.281679261415963,-0.7,20,500,1,1,3
0.0487949770490134,0.470691670906173,0.118911809462973,0.826454755036995,0.133685238039427,0.3387543817432,-0.6,20,500,1,1,3
0.0827683242156259,0.471443655480029,0.267280785036763,0.950353386474858,0.164345890988141,0.403318890420183,-0.5,20,500,1,1,3
