"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"beta",500,450,0.901803607214429,0.225631279041018,1,1.77436872095898,0.05,20,3,-0.9,1,1
"omega",500,435,0.871743486973948,-0.151899268404426,1,2.15189926840443,0.05,20,3,-0.9,1,1
"rho",500,437,0.875751503006012,-1.01331899008025,-0.9,-0.786681009919751,0.05,20,3,-0.9,1,1
"beta",500,453,0.907815631262525,0.260695734416446,1,1.73930426558355,0.05,20,3,-0.8,1,1
"omega",500,453,0.907815631262525,-0.147685519813443,1,2.14768551981344,0.05,20,3,-0.8,1,1
"rho",500,420,0.841683366733467,-1.01594732388232,-0.8,-0.584052676117677,0.05,20,3,-0.8,1,1
"beta",500,453,0.906,0.268551870659325,1,1.73144812934068,0.05,20,3,-0.7,1,1
"omega",500,454,0.908,-0.107574383516716,1,2.10757438351672,0.05,20,3,-0.7,1,1
"rho",500,425,0.85,-0.994796159773769,-0.7,-0.405203840226231,0.05,20,3,-0.7,1,1
"beta",500,460,0.92,0.30678322947436,1,1.69321677052564,0.05,20,3,-0.6,1,1
"omega",500,443,0.886,-0.0489415487332385,1,2.04894154873324,0.05,20,3,-0.6,1,1
"rho",500,427,0.854,-1.00855954281354,-0.6,-0.191440457186464,0.05,20,3,-0.6,1,1
"beta",500,459,0.921686746987952,0.308768902355385,1,1.69123109764461,0.05,20,3,-0.5,1,1
"omega",500,444,0.891566265060241,-0.0188676675989659,1,2.01886766759897,0.05,20,3,-0.5,1,1
"rho",500,427,0.857429718875502,-1.00581297102672,-0.5,0.0058129710267163,0.05,20,3,-0.5,1,1
"beta",500,452,0.904,0.309792988804017,1,1.69020701119598,0.05,20,3,-0.4,1,1
"omega",500,450,0.9,-0.0522670030251553,1,2.05226700302516,0.05,20,3,-0.4,1,1
"rho",500,446,0.892,-0.985519771979642,-0.4,0.185519771979642,0.05,20,3,-0.4,1,1
"beta",500,464,0.929859719438878,0.33309241904595,1,1.66690758095405,0.05,20,3,-0.3,1,1
"omega",500,454,0.909819639278557,-0.0391615048813145,1,2.03916150488131,0.05,20,3,-0.3,1,1
"rho",500,437,0.875751503006012,-0.964156266851378,-0.3,0.364156266851378,0.05,20,3,-0.3,1,1
"beta",500,463,0.926,0.338091285350159,1,1.66190871464984,0.05,20,3,-0.2,1,1
"omega",500,456,0.912,-0.0320210176823281,1,2.03202101768233,0.05,20,3,-0.2,1,1
"rho",500,459,0.918,-1.01802474139963,-0.2,0.61802474139963,0.05,20,3,-0.2,1,1
"beta",500,449,0.898,0.346962329152136,1,1.65303767084786,0.05,20,3,-0.1,1,1
"omega",500,442,0.884,-0.0326642139292317,1,2.03266421392923,0.05,20,3,-0.1,1,1
"rho",500,479,0.958,-1.01100315852911,-0.1,0.811003158529114,0.05,20,3,-0.1,1,1
"beta",500,454,0.908,0.343271631338448,1,1.65672836866155,0.05,20,3,0,1,1
"omega",500,443,0.886,-0.0504267488654646,1,2.05042674886546,0.05,20,3,0,1,1
"rho",500,500,1,-0.9862868919861,0,0.9862868919861,0.05,20,3,0,1,1
"beta",500,453,0.906,0.350115734008902,1,1.6498842659911,0.05,20,3,0.1,1,1
"omega",500,440,0.88,-0.048252532588805,1,2.0482525325888,0.05,20,3,0.1,1,1
"rho",500,500,1,-0.977283170295654,0.1,1.17728317029565,0.05,20,3,0.1,1,1
"beta",500,449,0.898,0.349862805403388,1,1.65013719459661,0.05,20,3,0.2,1,1
"omega",500,462,0.924,-0.0648861413999526,1,2.06488614139995,0.05,20,3,0.2,1,1
"rho",500,500,1,-0.974938410598496,0.2,1.3749384105985,0.05,20,3,0.2,1,1
"beta",500,454,0.908,0.349998065257613,1,1.65000193474239,0.05,20,3,0.3,1,1
"omega",500,442,0.884,-0.0832831841153017,1,2.0832831841153,0.05,20,3,0.3,1,1
"rho",500,500,1,-0.898277391143555,0.3,1.49827739114356,0.05,20,3,0.3,1,1
"beta",500,445,0.89,0.378755695158532,1,1.62124430484147,0.05,20,3,0.4,1,1
"omega",500,426,0.852,-0.0136782078077313,1,2.01367820780773,0.05,20,3,0.4,1,1
"rho",500,500,1,-0.817823111615201,0.4,1.6178231116152,0.05,20,3,0.4,1,1
"beta",500,453,0.906,0.377230171305704,1,1.6227698286943,0.05,20,3,0.5,1,1
"omega",500,443,0.886,-0.0129000333722782,1,2.01290003337228,0.05,20,3,0.5,1,1
"rho",500,500,1,-0.658023534700516,0.5,1.65802353470052,0.05,20,3,0.5,1,1
"beta",500,445,0.89,0.376653981520265,1,1.62334601847974,0.05,20,3,0.6,1,1
"omega",500,424,0.848,0.00533449779158357,1,1.99466550220842,0.05,20,3,0.6,1,1
"rho",500,472,0.944,-0.318010433715631,0.6,1.51801043371563,0.05,20,3,0.6,1,1
"beta",500,444,0.888,0.356209685934167,1,1.64379031406583,0.05,20,3,0.7,1,1
"omega",500,446,0.892,-0.104914687662111,1,2.10491468766211,0.05,20,3,0.7,1,1
"rho",500,456,0.912,0.0242062906596274,0.7,1.37579370934037,0.05,20,3,0.7,1,1
"beta",500,452,0.904,0.347751343612847,1,1.65224865638715,0.05,20,3,0.8,1,1
"omega",500,450,0.9,-0.114444481641524,1,2.11444448164152,0.05,20,3,0.8,1,1
"rho",500,372,0.744,0.344852133682314,0.8,1.25514786631769,0.05,20,3,0.8,1,1
"beta",500,454,0.908,0.312514415370656,1,1.68748558462934,0.05,20,3,0.9,1,1
"omega",500,438,0.876,-0.268794760924641,1,2.26879476092464,0.05,20,3,0.9,1,1
"rho",500,322,0.644,0.711909402515656,0.9,1.08809059748434,0.05,20,3,0.9,1,1
"beta",500,449,0.899799599198397,0.367730586959615,1,1.63226941304038,0.05,30,3,-0.9,1,1
"omega",500,432,0.865731462925852,0.0594781857746374,1,1.94052181422536,0.05,30,3,-0.9,1,1
"rho",500,459,0.919839679358717,-0.992524567954706,-0.9,-0.807475432045294,0.05,30,3,-0.9,1,1
"beta",500,467,0.934,0.396360594885744,1,1.60363940511426,0.05,30,3,-0.8,1,1
"omega",500,456,0.912,0.0629186970920638,1,1.93708130290794,0.05,30,3,-0.8,1,1
"rho",500,450,0.9,-0.976320251610409,-0.8,-0.623679748389591,0.05,30,3,-0.8,1,1
"beta",500,453,0.906,0.402775103267357,1,1.59722489673264,0.05,30,3,-0.7,1,1
"omega",500,450,0.9,0.0956693027354671,1,1.90433069726453,0.05,30,3,-0.7,1,1
"rho",500,433,0.866,-0.940700056525906,-0.7,-0.459299943474094,0.05,30,3,-0.7,1,1
"beta",500,442,0.884,0.433990877024054,1,1.56600912297595,0.05,30,3,-0.6,1,1
"omega",500,448,0.896,0.143542811866277,1,1.85645718813372,0.05,30,3,-0.6,1,1
"rho",500,440,0.88,-0.933587469812647,-0.6,-0.266412530187353,0.05,30,3,-0.6,1,1
"beta",500,467,0.939637826961771,0.435612172142253,1,1.56438782785775,0.05,30,3,-0.5,1,1
"omega",500,457,0.919517102615694,0.168098032987638,1,1.83190196701236,0.05,30,3,-0.5,1,1
"rho",500,445,0.895372233400402,-0.912994561432209,-0.5,-0.0870054385677912,0.05,30,3,-0.5,1,1
"beta",500,451,0.902,0.436448335226135,1,1.56355166477386,0.05,30,3,-0.4,1,1
"omega",500,447,0.894,0.140827589806895,1,1.8591724101931,0.05,30,3,-0.4,1,1
"rho",500,441,0.882,-0.878074891886959,-0.4,0.0780748918869593,0.05,30,3,-0.4,1,1
"beta",500,465,0.93,0.455472240356237,1,1.54452775964376,0.05,30,3,-0.3,1,1
"omega",500,463,0.926,0.151528184232696,1,1.8484718157673,0.05,30,3,-0.3,1,1
"rho",500,444,0.888,-0.842281321085872,-0.3,0.242281321085872,0.05,30,3,-0.3,1,1
"beta",500,474,0.948,0.459553797602139,1,1.54044620239786,0.05,30,3,-0.2,1,1
"omega",500,468,0.936,0.157358367616827,1,1.84264163238317,0.05,30,3,-0.2,1,1
"rho",500,448,0.896,-0.867914404467085,-0.2,0.467914404467085,0.05,30,3,-0.2,1,1
