"rho","N","n_reps","beta_free","omega_var","Tfull","conv_1_2","conv_3","conv_4_5","crash"
-0.9,20,500,1,1,3,493,6,0,1
-0.8,20,500,1,1,3,499,0,0,1
-0.7,20,500,1,1,3,500,0,0,0
-0.6,20,500,1,1,3,500,0,0,0
-0.5,20,500,1,1,3,498,0,0,2
-0.4,20,500,1,1,3,498,2,0,0
-0.3,20,500,1,1,3,498,1,0,1
-0.2,20,500,1,1,3,500,0,0,0
-0.1,20,500,1,1,3,499,1,0,0
0,20,500,1,1,3,500,0,0,0
0.1,20,500,1,1,3,500,0,0,0
0.2,20,500,1,1,3,499,1,0,0
0.3,20,500,1,1,3,499,1,0,0
0.4,20,500,1,1,3,500,0,0,0
0.5,20,500,1,1,3,499,1,0,0
0.6,20,500,1,1,3,500,0,0,0
0.7,20,500,1,1,3,498,2,0,0
0.8,20,500,1,1,3,497,3,0,0
0.9,20,500,1,1,3,497,3,0,0
-0.9,30,500,1,1,3,499,0,0,1
-0.8,30,500,1,1,3,500,0,0,0
-0.7,30,500,1,1,3,499,1,0,0
-0.6,30,500,1,1,3,499,1,0,0
-0.5,30,500,1,1,3,497,0,0,3
-0.4,30,500,1,1,3,500,0,0,0
-0.3,30,500,1,1,3,500,0,0,0
-0.2,30,500,1,1,3,500,0,0,0
-0.1,30,500,1,1,3,500,0,0,0
0,30,500,1,1,3,500,0,0,0
0.1,30,500,1,1,3,500,0,0,0
0.2,30,500,1,1,3,499,1,0,0
0.3,30,500,1,1,3,500,0,0,0
0.4,30,500,1,1,3,500,0,0,0
0.5,30,500,1,1,3,499,0,0,1
0.6,30,500,1,1,3,500,0,0,0
0.7,30,500,1,1,3,499,1,0,0
0.8,30,500,1,1,3,500,0,0,0
0.9,30,500,1,1,3,499,0,0,1
-0.9,40,500,1,1,3,499,0,0,1
-0.8,40,500,1,1,3,498,0,0,2
-0.7,40,500,1,1,3,499,0,0,1
-0.6,40,500,1,1,3,499,0,0,1
-0.5,40,500,1,1,3,500,0,0,0
-0.4,40,500,1,1,3,499,0,0,1
-0.3,40,500,1,1,3,500,0,0,0
-0.2,40,500,1,1,3,500,0,0,0
-0.1,40,500,1,1,3,499,0,0,1
0,40,500,1,1,3,500,0,0,0
0.1,40,500,1,1,3,500,0,0,0
0.2,40,500,1,1,3,500,0,0,0
0.3,40,500,1,1,3,500,0,0,0
0.4,40,500,1,1,3,500,0,0,0
0.5,40,500,1,1,3,500,0,0,0
0.6,40,500,1,1,3,500,0,0,0
0.7,40,500,1,1,3,500,0,0,0
0.8,40,500,1,1,3,499,0,0,1
0.9,40,500,1,1,3,500,0,0,0
-0.9,50,500,1,1,3,497,1,0,2
-0.8,50,500,1,1,3,498,1,0,1
-0.7,50,500,1,1,3,499,1,0,0
-0.6,50,500,1,1,3,500,0,0,0
-0.5,50,500,1,1,3,500,0,0,0
-0.4,50,500,1,1,3,500,0,0,0
-0.3,50,500,1,1,3,499,0,0,1
-0.2,50,500,1,1,3,500,0,0,0
-0.1,50,500,1,1,3,500,0,0,0
0,50,500,1,1,3,500,0,0,0
0.1,50,500,1,1,3,500,0,0,0
0.2,50,500,1,1,3,500,0,0,0
0.3,50,500,1,1,3,500,0,0,0
0.4,50,500,1,1,3,500,0,0,0
0.5,50,500,1,1,3,500,0,0,0
0.6,50,500,1,1,3,499,0,0,1
0.7,50,500,1,1,3,500,0,0,0
0.8,50,500,1,1,3,500,0,0,0
0.9,50,500,1,1,3,498,0,0,2
-0.9,60,500,1,1,3,499,0,0,1
-0.8,60,500,1,1,3,500,0,0,0
-0.7,60,500,1,1,3,500,0,0,0
-0.6,60,500,1,1,3,500,0,0,0
-0.5,60,500,1,1,3,500,0,0,0
