"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","rho","N","Tfull"
"beta",200,144,0.72,-0.110992422715451,1,2.11099242271545,0.05,0.5,10,2
"omega",200,144,0.72,-0.967085326108547,1,2.96708532610855,0.05,0.5,10,2
"rho",200,200,1,-2.47259070802544,0.5,3.47259070802544,0.05,0.5,10,2
"beta",200,163,0.815,0.214409724051034,1,1.78559027594897,0.05,0.5,20,2
"omega",200,159,0.795,-0.390939373263905,1,2.3909393732639,0.05,0.5,20,2
"rho",200,200,1,-1.60193904733691,0.5,2.60193904733691,0.05,0.5,20,2
"beta",200,173,0.865,0.3585682256776,1,1.6414317743224,0.05,0.5,30,2
"omega",200,163,0.815,-0.135697242547732,1,2.13569724254773,0.05,0.5,30,2
"rho",200,200,1,-1.21622604546907,0.5,2.21622604546907,0.05,0.5,30,2
"beta",200,182,0.91,0.444503788642275,1,1.55549621135773,0.05,0.5,40,2
"omega",200,173,0.865,0.0164573369457265,1,1.98354266305427,0.05,0.5,40,2
"rho",200,200,1,-0.986295354012719,0.5,1.98629535401272,0.05,0.5,40,2
"beta",200,170,0.85,0.503149084064214,1,1.49685091593579,0.05,0.5,50,2
"omega",200,171,0.855,0.12029269865579,1,1.87970730134421,0.05,0.5,50,2
"rho",200,200,1,-0.829382978485821,0.5,1.82938297848582,0.05,0.5,50,2
"beta",200,181,0.905,0.648673348103059,1,1.35132665189694,0.05,0.5,100,2
"omega",200,186,0.93,0.377953001760191,1,1.62204699823981,0.05,0.5,100,2
"rho",200,200,1,-0.440015718881295,0.5,1.44001571888129,0.05,0.5,100,2
"beta",200,170,0.85,0.0650832042553,1,1.9349167957447,0.05,0.5,10,3
"omega",200,163,0.815,-0.52856842618997,1,2.52856842618997,0.05,0.5,10,3
"rho",200,200,1,-1.63086307598362,0.5,2.63086307598362,0.05,0.5,10,3
"beta",200,176,0.88,0.338913993883724,1,1.66108600611628,0.05,0.5,20,3
