"rho","beta_coef","Tfull","beta_sd_avg","omega_sd_avg","rho_sd_avg"
-0.9,1,5,0.0115181099459215,0.0153269601787797,0.00143295948960994
-0.8,1,5,0.0109617197568837,0.0150783321525369,0.00260326967893159
-0.7,1,5,0.0105512787877245,0.0147227588558199,0.00373990868163227
-0.6,1,5,0.0103423868313466,0.0146913605047839,0.0048630374058706
-0.5,1,5,0.0101732843045787,0.0146723857259639,0.00605682573990069
-0.4,1,5,0.0100421505180277,0.0145892862980873,0.00724765048347337
-0.3,1,5,0.00987646831060956,0.0144099688017852,0.00853637189034874
-0.2,1,5,0.00973068088910743,0.014200947027047,0.00944300045831717
-0.1,1,5,0.0096601469654376,0.0141838221749212,0.00999050773325076
0,1,5,0.00957018235302161,0.0140728014403248,0.0102097506657296
0.1,1,5,0.00951671555424551,0.0139462334238787,0.0101611605628681
0.2,1,5,0.00950604917923773,0.0141093948153483,0.0104182266969326
0.3,1,5,0.00943259706941404,0.0138400048277078,0.0109311269714335
0.4,1,5,0.00952333890460635,0.0143001015087203,0.0118427253353333
0.5,1,5,0.00952822617456028,0.0144204976458618,0.012579832665517
0.6,1,5,0.00953827562759275,0.0146632613658889,0.0131146895750952
0.7,1,5,0.00960101590310856,0.0148333347528729,0.0118911202270943
0.8,1,5,0.00977253628819185,0.0156326075970966,0.00806361832728264
0.9,1,5,0.0100961371388829,0.0177661319530892,0.00341589317638051
-0.9,1,2,0.025702208350474,0.045028017813064,0.00443859730149347
-0.8,1,2,0.0214662294192831,0.0363346393670974,0.00724761368732145
-0.7,1,2,0.0192583283887505,0.0324120012950073,0.00957786082951464
-0.6,1,2,0.0178622228050433,0.0293316663543716,0.0118776864036805
-0.5,1,2,0.0166730386396796,0.0274791025744193,0.0142451258892723
-0.4,1,2,0.0161513790309674,0.0264983324992223,0.0165480706669504
-0.3,1,2,0.0156846105734973,0.0259633113577931,0.0186179722660215
-0.2,1,2,0.0149228960590904,0.0248939815248744,0.0210854555911479
-0.1,1,2,0.0144809645182202,0.0237794607656783,0.0234376147104015
0,1,2,0.0141779897998242,0.0236781303183375,0.0258952050628883
0.1,1,2,0.0142312339288935,0.0237860444256865,0.0284326609188143
0.2,1,2,0.0136845847443109,0.0230904427023396,0.0304952434609819
0.3,1,2,0.0134332368625627,0.0232477630666815,0.0332191761677472
0.4,1,2,0.0134424755106955,0.0237537351255237,0.0346157450424032
0.5,1,2,0.0126750011697889,0.0224419251650344,0.0339134542515022
0.6,1,2,0.0123959339617786,0.0220236289413422,0.0301465832946918
0.7,1,2,0.0122651927881134,0.0212520348233214,0.0209662096186724
0.8,1,2,0.0123853123176784,0.0209606388967019,0.011518572180504
0.9,1,2,0.0131279869410796,0.0235362789271864,0.00470713967644125
-0.9,1,3,0.0135941474574933,0.0189534073778339,0.00187671399202408
-0.8,1,3,0.0128150386891265,0.0181028250802269,0.00351133968946257
-0.7,1,3,0.0123370594965834,0.0176779598938784,0.00526511908032717
